chequeo,severidad,ambito,anio,entidad,cultivo,valor,detalle,accion_propuesta
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'AGUASCALIENTES': 119, 'Aguascalientes': 211} colapsan a 'AGUASCALIENTES'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'BAJA CALIFORNIA': 408, 'Baja California': 881} colapsan a 'BAJA CALIFORNIA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'BAJA CALIFORNIA SUR': 260, 'Baja California Sur': 431} colapsan a 'BAJA CALIFORNIA SUR'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'CAMPECHE': 194, 'Campeche': 349} colapsan a 'CAMPECHE'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'CHIAPAS': 393, 'Chiapas': 538} colapsan a 'CHIAPAS'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'CHIHUAHUA': 319, 'Chihuahua': 641} colapsan a 'CHIHUAHUA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'COAHUILA': 204, 'Coahuila': 435} colapsan a 'COAHUILA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'COLIMA': 340, 'Colima': 510} colapsan a 'COLIMA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'DISTRITO FEDERAL': 31, 'Distrito Federal': 130} colapsan a 'DISTRITO FEDERAL'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'DURANGO': 196, 'Durango': 469} colapsan a 'DURANGO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'ESTADO DE MEXICO': 12, 'Estado de México': 306} colapsan a 'ESTADO DE MEXICO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'GUANAJUATO': 668, 'Guanajuato': 1661} colapsan a 'GUANAJUATO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'GUERRERO': 186, 'Guerrero': 244} colapsan a 'GUERRERO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'HIDALGO': 241, 'Hidalgo': 545} colapsan a 'HIDALGO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'JALISCO': 723, 'Jalisco': 1663} colapsan a 'JALISCO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'México': 35, 'MEXICO': 125} colapsan a 'MEXICO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'MICHOACAN': 869, 'Michoacán': 1625} colapsan a 'MICHOACAN'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'MORELOS': 159, 'Morelos': 234} colapsan a 'MORELOS'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'NAYARIT': 485, 'Nayarit': 1008} colapsan a 'NAYARIT'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'NUEVO LEON': 205, 'Nuevo León': 301} colapsan a 'NUEVO LEON'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'OAXACA': 500, 'Oaxaca': 797} colapsan a 'OAXACA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'PUEBLA': 407, 'Puebla': 957} colapsan a 'PUEBLA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'QUERETARO': 221, 'Querétaro': 486} colapsan a 'QUERETARO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'QUINTANA ROO': 99, 'Quintana Roo': 168} colapsan a 'QUINTANA ROO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'SAN LUIS POTOSI': 239, 'San Luis Potosí': 486} colapsan a 'SAN LUIS POTOSI'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'SINALOA': 650, 'Sinaloa': 1452} colapsan a 'SINALOA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'SONORA': 725, 'Sonora': 1413} colapsan a 'SONORA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'TABASCO': 281, 'Tabasco': 238} colapsan a 'TABASCO'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'TAMAULIPAS': 316, 'Tamaulipas': 762} colapsan a 'TAMAULIPAS'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'TLAXCALA': 132, 'Tlaxcala': 256} colapsan a 'TLAXCALA'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'VERACRUZ': 551, 'Veracruz': 1285} colapsan a 'VERACRUZ'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'YUCATAN': 141, 'Yucatán': 208} colapsan a 'YUCATAN'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"ENTIDAD: {'ZACATECAS': 277, 'Zacatecas': 475} colapsan a 'ZACATECAS'",normalizar
A1_variantes_categoricas,media,emision,,,,2,"TIPO SEGURO: {'Agrícola': 30858, 'Agrícola ': 1195} colapsan a 'AGRICOLA'",normalizar
