archivo,fila_csv,anio,entidad,cultivo,archivo_origen,campo,valor_actual,valor_propuesto,mxn_ha_antes,mxn_ha_despues
emision,13172,2014,TABASCO,PALMERA DATILERA,2014 Agricola Bases.xls,SUPERFICIE ASEGURADA,30080.0,30.08,65.0,65040
emision,15288,2015,SAN LUIS POTOSI,CHILE,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,514913.25,514.91325,29.9,29936
emision,15328,2015,SAN LUIS POTOSI,CARTAMO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,75600.0,75.6,7.0,7000
emision,15329,2015,SAN LUIS POTOSI,MAIZ DULCE,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,144999.92,144.99992,7.0,7000
emision,15338,2015,GUANAJUATO,MAIZ DULCE,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,116000.0,116.0,8.0,8000
emision,15790,2015,SINALOA,MAIZ DULCE,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,2924552.05,2924.55205,52.7,52674
emision,16739,2015,GUANAJUATO,ESPARRAGO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,3181200.0,3181.2,4.0,4000
emision,16744,2015,GUANAJUATO,TRIGO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,2341175.0,2341.175,7.6,7565
emision,16752,2015,MICHOACAN,LIMONERO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,500078.86,500.07885999999996,15.6,15598
emision,16760,2015,SINALOA,SORGO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,612000.0,612.0,6.0,6000
emision,17390,2015,SAN LUIS POTOSI,FRIJOL,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,4791.33,4.79133,88.3,88323
emision,17598,2015,MICHOACAN,AGUACATE,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,13746831.11,13746.83111,3.2,3217
emision,17608,2015,SONORA,CARTAMO,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,101200.0,101.2,8.0,8000
emision,17609,2015,SONORA,SANDIA,2015 Agricola Bases.xlsx,SUPERFICIE ASEGURADA,3309146.0,3309.146,4.9,4852
