anio,ENTIDAD_N,NÚMERO DE PÓLIZAS,"SUPERFICIE ASEGURADA
(HECTÁREAS)",PRIMA EMITIDA,SUMA ASEGURADA
2008,SONORA,10,964.0,1618136.0,17635600
2009,GUANAJUATO,1,20.0,22100.0,260000
2009,SINALOA,3,791.0,416612.0,11155000
2009,SONORA,12,1004.0,637217.0,20602000
2010,SINALOA,5,985.0,401212.0,14211000
2010,SONORA,8,424.0,491414.0,8676400
2011,GUANAJUATO,10,49.95,77422.0,990100
2011,SINALOA,4,958.5,573873.0,18318000
2011,SONORA,11,637.5,966691.0,13019999
2012,SINALOA,3,710.0,731105.0,18447000
2012,SONORA,11,734.0,1021754.0,15829997
2013,SINALOA,3,392.0,140443.34,10100000
2013,SONORA,11,680.0,576759.12,14150998
2014,GUANAJUATO,1,20.0,41513.8,500000
2014,SINALOA,18,547.7,772692.03,14956100
2014,SONORA,8,615.5,1163494.09,13709998
2015,GUANAJUATO,1,116000.0,1314.66,928000
2015,SAN LUIS POTOSI,1,144999.92,17109.99,1015000
2015,SINALOA,61,6104408.890000001,2008714.94,250504720
2015,SONORA,9,836.0,965120.93,19394998
2016,SINALOA,16,1240.21,1493443.8,51507570
2016,SONORA,4,385.0,0.0,8975000
2017,SINALOA,14,1107.58,975466.8,47543400
2017,SONORA,3,343.0,32218.8,8877000
2018,SINALOA,7,613.24,844684.24,27595800
2018,SONORA,1,12.0,0.0,300000
2019,SINALOA,6,491.54,819273.1,22206800
2019,SONORA,1,58.0,381788.77,3190000
2020,SINALOA,14,621.5,442648.69,20775000
2020,SONORA,1,58.0,0.0,3190000
2021,SINALOA,15,593.9,672514.8500000001,16923000
2021,SONORA,5,273.0,1102496.2,13352500
2022,SINALOA,7,476.9,174188.31,236706006
2022,SONORA,9,999.5,453933.13000000006,397691677
2023,SINALOA,1,80.0,0.0,74653040
2023,SONORA,6,1996.5,115499.52,662715396
2024,SINALOA,14,889.21,2339552.92,688695655
2024,SONORA,2,67.5,165160.05,125297400
