anio,ENTIDAD_N,NÚMERO DE SINIESTROS,"SUPERFICIE SINIESTRADA
(HECTÁREAS)",MONTO DEL SINIESTRO OCURRIDO,MONTO PAGADO
2008,SONORA,9.0,242.0,455665.0,447665.0
2009,SONORA,5.0,427.0,1556530.0,258778.0
2010,SONORA,10.0,457.0,102277.0,1291129.0
2011,SINALOA,2.0,524.0,5347448.0,5347448.0
2011,SONORA,10.0,416.74,1212917.0,1319817.0
2012,SONORA,8.0,399.0,28900.0,0.0
2013,SONORA,11.0,496.0,968014.82,996914.82
2014,SONORA,5.0,375.0,68500.0,0.0
2015,SINALOA,13.0,3809613.06,855974.31,832604.31
2015,SONORA,15.0,816.0,770034.38,797784.38
2016,SINALOA,2.0,2.0,0.0,0.0
2016,SONORA,13.0,679.0,354221.16,401971.16
2017,SINALOA,5.0,59.1,49136.100000000006,72506.1
2018,SINALOA,2.0,2.0,0.0,0.0
2019,SINALOA,1.0,72.0,0.0,0.0
2020,SINALOA,3.0,109.0,220002.0,219402.0
2021,SINALOA,3.0,109.0,66958.34,67558.34
2021,SONORA,1.0,23.5,0.0,0.0
2023,SONORA,3.0,45.0,669000.0,669000.0
