anio,cve_ent,metodo,perdida
2000,01,isimip2a,0.0
2000,02,isimip2a,770345029.7198433
2000,03,isimip2a,4179.599609448743
2000,04,isimip2a,120766682.14365116
2000,05,isimip2a,698391311.3838489
2000,06,isimip2a,20739269.07974349
2000,07,isimip2a,1270257522.5465496
2000,08,isimip2a,1075481907.2145035
2000,09,isimip2a,2567473936.280863
2000,10,isimip2a,13755879.962808084
2000,11,isimip2a,19774871.091545142
2000,12,isimip2a,139955726.53333208
2000,13,isimip2a,392272928.9364106
2000,14,isimip2a,52676164.26817696
2000,15,isimip2a,6642384863.9905405
2000,16,isimip2a,342671000.27676827
2000,17,isimip2a,0.0
2000,18,isimip2a,163637552.86877975
2000,19,isimip2a,58214.17229967581
2000,20,isimip2a,2486296462.8248935
2000,21,isimip2a,107361041.5971648
2000,22,isimip2a,501031.0909306129
2000,23,isimip2a,26066630.229577314
2000,24,isimip2a,495254439.7976993
2000,25,isimip2a,1928861643.819926
2000,26,isimip2a,44655802.843744375
2000,27,isimip2a,17546844756.92575
2000,28,isimip2a,2263551275.2135777
2000,29,isimip2a,16378541.28582164
2000,30,isimip2a,7819477183.704486
2000,31,isimip2a,4406977.873674354
2000,32,isimip2a,0.0
2001,01,isimip2a,0.0
2001,02,isimip2a,827627489.2429372
2001,03,isimip2a,3399.217628153995
2001,04,isimip2a,65394915.81506326
2001,05,isimip2a,540896901.363459
2001,06,isimip2a,10435991.50025039
2001,07,isimip2a,982996488.7513783
2001,08,isimip2a,1591904169.6012683
2001,09,isimip2a,2336979117.132038
2001,10,isimip2a,11275340.63781585
2001,11,isimip2a,452454035.1891677
2001,12,isimip2a,152837286.0986146
2001,13,isimip2a,370917870.8380727
2001,14,isimip2a,36885854.1855024
2001,15,isimip2a,5840280378.953958
2001,16,isimip2a,319505527.92546004
2001,17,isimip2a,0.0
2001,18,isimip2a,143002385.66580254
2001,19,isimip2a,48575.56302790011
2001,20,isimip2a,2215945209.1118226
2001,21,isimip2a,94925097.9291648
2001,22,isimip2a,433169.2178369451
2001,23,isimip2a,25564778.199638758
2001,24,isimip2a,373620649.2382973
2001,25,isimip2a,1606643281.2839625
2001,26,isimip2a,78481197.2418875
2001,27,isimip2a,12442210787.264576
2001,28,isimip2a,2179228136.4118013
2001,29,isimip2a,16193609.389145467
2001,30,isimip2a,7079333421.696256
2001,31,isimip2a,1227856.8878670207
2001,32,isimip2a,0.0
2002,01,isimip2a,0.0
2002,02,isimip2a,773750043.7670225
2002,03,isimip2a,2683.169461745077
2002,04,isimip2a,111134927.57906312
2002,05,isimip2a,464544184.5679165
2002,06,isimip2a,10226832.13806184
2002,07,isimip2a,1083662532.4804895
2002,08,isimip2a,891248062.6452917
2002,09,isimip2a,2078472004.967196
2002,10,isimip2a,9728286.74008481
2002,11,isimip2a,2115799.9029736593
2002,12,isimip2a,186934734.49052075
2002,13,isimip2a,314062970.4110584
2002,14,isimip2a,35372683.431950204
2002,15,isimip2a,5242453271.501434
2002,16,isimip2a,416160911.63426656
2002,17,isimip2a,0.0
2002,18,isimip2a,133143101.1829057
2002,19,isimip2a,59720.606800450274
2002,20,isimip2a,1980996208.8757126
2002,21,isimip2a,83616388.20677292
2002,22,isimip2a,311848.68851671263
2002,23,isimip2a,17969716.81015035
2002,24,isimip2a,393429784.1929989
2002,25,isimip2a,1581190245.1436713
2002,26,isimip2a,40306899.97260241
2002,27,isimip2a,12837084735.421299
2002,28,isimip2a,2452395898.7252507
2002,29,isimip2a,16000646.88270056
2002,30,isimip2a,5614482267.859419
2002,31,isimip2a,1831356.3575113649
2002,32,isimip2a,0.0
2003,01,isimip2a,0.0
2003,02,isimip2a,1088965952.7417674
2003,03,isimip2a,8867.132050117112
2003,04,isimip2a,63982136.94730669
2003,05,isimip2a,630796909.6711018
2003,06,isimip2a,10946006.684869254
2003,07,isimip2a,1296676591.929193
2003,08,isimip2a,881781667.1508293
2003,09,isimip2a,2527283239.087924
2003,10,isimip2a,9368122.818557598
2003,11,isimip2a,366568065.84915376
2003,12,isimip2a,145692944.57745397
2003,13,isimip2a,357982962.0626756
2003,14,isimip2a,68929257.91207014
2003,15,isimip2a,6319313791.165125
2003,16,isimip2a,634428157.433286
2003,17,isimip2a,189231217.2750747
2003,18,isimip2a,130435886.9753585
2003,19,isimip2a,63295.984533575014
2003,20,isimip2a,2569647911.0585117
2003,21,isimip2a,94990548.36688697
2003,22,isimip2a,517691.7225153267
2003,23,isimip2a,11829010.191872133
2003,24,isimip2a,470864659.4730462
2003,25,isimip2a,1958246046.6502073
2003,26,isimip2a,42739024.86636332
2003,27,isimip2a,16360867741.610077
2003,28,isimip2a,3003803182.699127
2003,29,isimip2a,13818381.814581284
2003,30,isimip2a,7615906235.474412
2003,31,isimip2a,1227028.828535009
2003,32,isimip2a,0.0
2004,01,isimip2a,0.0
2004,02,isimip2a,3007743532.3217735
2004,03,isimip2a,6575.337976155927
2004,04,isimip2a,49156369.507029265
2004,05,isimip2a,615534159.1280934
2004,06,isimip2a,10144304.61596534
2004,07,isimip2a,1103753698.0546942
2004,08,isimip2a,935881710.9331648
2004,09,isimip2a,5415958145.029737
2004,10,isimip2a,21021041.472575232
2004,11,isimip2a,1338389819.069592
2004,12,isimip2a,137011328.25958115
2004,13,isimip2a,374541725.47085667
2004,14,isimip2a,73672952.51416978
2004,15,isimip2a,13261787951.477058
2004,16,isimip2a,798042897.255368
2004,17,isimip2a,256425556.85771888
2004,18,isimip2a,198369765.89521074
2004,19,isimip2a,49338104.82597931
2004,20,isimip2a,1664790293.5098917
2004,21,isimip2a,91689844.47922651
2004,22,isimip2a,956173.571141832
2004,23,isimip2a,18145070.569967676
2004,24,isimip2a,547187382.3500159
2004,25,isimip2a,5782392555.546978
2004,26,isimip2a,51118932.62356302
2004,27,isimip2a,13956060695.22684
2004,28,isimip2a,3341170637.6337633
2004,29,isimip2a,11646392.804505784
2004,30,isimip2a,7488387182.809595
2004,31,isimip2a,1463879.1287025753
2004,32,isimip2a,0.0
2005,01,isimip2a,0.0
2005,02,isimip2a,3379708175.7698565
2005,03,isimip2a,2741.7788224471888
2005,04,isimip2a,70544520.3165153
2005,05,isimip2a,581520729.1783646
2005,06,isimip2a,11023674.203308461
2005,07,isimip2a,1740241080.6892133
2005,08,isimip2a,1278877261.8197384
2005,09,isimip2a,2179194647.529201
2005,10,isimip2a,9514916.80927597
2005,11,isimip2a,232259090.71879345
2005,12,isimip2a,160540124.19016767
2005,13,isimip2a,309668426.6875096
2005,14,isimip2a,79187109.60682133
2005,15,isimip2a,5511935839.467434
2005,16,isimip2a,952808344.3692249
2005,17,isimip2a,122709037.47801776
2005,18,isimip2a,132309718.94941571
2005,19,isimip2a,87483542.93802641
2005,20,isimip2a,3004872908.1332026
2005,21,isimip2a,99697831.08720809
2005,22,isimip2a,510399.7416688587
2005,23,isimip2a,22617487.99435803
2005,24,isimip2a,619539170.3840764
2005,25,isimip2a,2212114734.332861
2005,26,isimip2a,62214763.59466088
2005,27,isimip2a,18987189491.730183
2005,28,isimip2a,3701778790.3464975
2005,29,isimip2a,10871430.89747994
2005,30,isimip2a,8753594331.120613
2005,31,isimip2a,1828193.5751099156
2005,32,isimip2a,0.0
2006,01,isimip2a,0.0
2006,02,isimip2a,1995316075.7008867
2006,03,isimip2a,7896.0006115369015
2006,04,isimip2a,142233210.5825919
2006,05,isimip2a,470292955.4603124
2006,06,isimip2a,18785388.259491123
2006,07,isimip2a,979502612.0815725
2006,08,isimip2a,1689379651.0530455
2006,09,isimip2a,2193158172.190802
2006,10,isimip2a,9315153.338865034
2006,11,isimip2a,548958614.8917776
2006,12,isimip2a,133942687.55399026
2006,13,isimip2a,368809318.01982105
2006,14,isimip2a,49509038.40697741
2006,15,isimip2a,5545203911.835403
2006,16,isimip2a,343239484.5261462
2006,17,isimip2a,0.0
2006,18,isimip2a,188439262.31894183
2006,19,isimip2a,47064.73916562328
2006,20,isimip2a,2310934004.409011
2006,21,isimip2a,80013941.43350983
2006,22,isimip2a,413816.4325512574
2006,23,isimip2a,30676199.567480497
2006,24,isimip2a,389234641.60409284
2006,25,isimip2a,1673481280.2786658
2006,26,isimip2a,52466690.35761562
2006,27,isimip2a,13478694847.852825
2006,28,isimip2a,2795692254.806384
2006,29,isimip2a,11900262.386449102
2006,30,isimip2a,7468314424.786159
2006,31,isimip2a,3675806.8696296527
2006,32,isimip2a,0.0
2007,01,isimip2a,0.0
2007,02,isimip2a,2779466764.1982665
2007,03,isimip2a,7018.290332760124
2007,04,isimip2a,66368727.80579732
2007,05,isimip2a,433063319.9171292
2007,06,isimip2a,16698904.576636918
2007,07,isimip2a,1278127901.1313996
2007,08,isimip2a,1073356279.9757396
2007,09,isimip2a,2152064121.2832355
2007,10,isimip2a,9156485.483041083
2007,11,isimip2a,486339831.42495596
2007,12,isimip2a,166992867.29514137
2007,13,isimip2a,349762432.0832523
2007,14,isimip2a,51861538.459370315
2007,15,isimip2a,5496612153.1759205
2007,16,isimip2a,429168226.462444
2007,17,isimip2a,0.0
2007,18,isimip2a,133798565.00594571
2007,19,isimip2a,82611.867463855
2007,20,isimip2a,2484448311.0145974
2007,21,isimip2a,217594238.4162665
2007,22,isimip2a,508539.01085755276
2007,23,isimip2a,28720272.624523126
2007,24,isimip2a,631201396.1941876
2007,25,isimip2a,1624755661.0241258
2007,26,isimip2a,42569940.066477895
2007,27,isimip2a,18373674883.679577
2007,28,isimip2a,3798884382.103587
2007,29,isimip2a,15536639.902961142
2007,30,isimip2a,8321283542.831177
2007,31,isimip2a,3451381.124724477
2007,32,isimip2a,0.0
2008,01,isimip2a,0.0
2008,02,isimip2a,2820610096.1816435
2008,03,isimip2a,8504.548097642348
2008,04,isimip2a,43716882.50335883
2008,05,isimip2a,749542044.0138443
2008,06,isimip2a,11775862.15994913
2008,07,isimip2a,1452998707.7861156
2008,08,isimip2a,1442490504.1404052
2008,09,isimip2a,2095055899.0192082
2008,10,isimip2a,21743754.191699483
2008,11,isimip2a,2228651.100277797
2008,12,isimip2a,151388941.45076963
2008,13,isimip2a,356753579.01907337
2008,14,isimip2a,72936220.66386476
2008,15,isimip2a,5366532742.0075
2008,16,isimip2a,474832623.8735251
2008,17,isimip2a,383768121.581674
2008,18,isimip2a,273334943.9277065
2008,19,isimip2a,751668.177684299
2008,20,isimip2a,2358063914.1861186
2008,21,isimip2a,97986283.52893518
2008,22,isimip2a,507472.7304530259
2008,23,isimip2a,26541409.19296818
2008,24,isimip2a,626532042.8755755
2008,25,isimip2a,1647621546.4550216
2008,26,isimip2a,126230646.33838472
2008,27,isimip2a,18035268467.716217
2008,28,isimip2a,3099661438.267372
2008,29,isimip2a,13511865.599960044
